text,label,label_id,target
I rarely feel depressed.,neuroticism,0,1
I always know what I am doing.,conscientiousness,1,1
I do not put my mind on the task at hand.,conscientiousness,1,1
I keep things tidy.,conscientiousness,1,1
I laugh a lot.,extraversion,2,1
I rarely get caught up in the excitement.,extraversion,2,1
I am not a very enthusiastic person.,extraversion,2,1
I see myself as a good leader.,extraversion,2,1
I can talk others into doing things.,extraversion,2,0
I do not have an assertive personality.,extraversion,2,1
I lack the talent for influencing people.,extraversion,2,0
I formulate ideas clearly.,openness,3,0
I learn things slowly.,openness,3,0
I get deeply immersed in music.,openness,3,0
I seldom notice the emotional aspects of paintings and pictures.,openness,3,0
I am a creature of habit.,openness,3,1
I demand a lot from others.,agreeableness,4,0
I get along well with others.,extraversion,2,1
I am the life of the party.,extraversion,2,1
I am the first to act.,extraversion,2,0
I have no sympathy for criminals.,conscientiousness,1,0
I enjoy feeling close to the earth.,openness,3,0
I like to stand during the national anthem.,openness,3,1
I make beautiful things.,openness,3,0
I would like to live for a while in a different country.,openness,3,0
I seldom stretch the truth.,conscientiousness,1,1
I automatically take charge.,extraversion,2,0
I believe in a logical answer for everything.,conscientiousness,1,1
I cannot come up with new ideas.,openness,3,1
I let others make the decisions.,extraversion,2,0
I try to lead others.,extraversion,2,0
I wait for others to lead the way.,extraversion,2,1
I accept people as they are.,agreeableness,4,0
I accomplish my work on time.,conscientiousness,1,1
I act at the expense of others.,agreeableness,4,1
I act comfortably with others.,extraversion,2,0
I adapt easily to new situations.,neuroticism,0,0
I am able to control my cravings.,neuroticism,0,1
I am a very private person.,extraversion,2,0
I am able to find out things by myself.,openness,3,1
I am afraid to draw attention to myself.,extraversion,2,1
I am always busy.,extraversion,2,0
I am calm even in tense situations.,neuroticism,0,1
I am always prepared.,conscientiousness,1,0
I am not easily affected by my emotions.,openness,3,1
I am careful to avoid making mistakes.,conscientiousness,1,1
I am comfortable in unfamiliar situations.,neuroticism,0,1
I am deeply moved by others misfortunes.,agreeableness,4,1
I am easily distracted.,conscientiousness,1,0
I am not easily frustrated.,neuroticism,0,1
I am not easily stirred.,neuroticism,0,0
I am sure of my ground.,conscientiousness,1,0
I can stand criticism.,neuroticism,0,1
I am easily talked into doing silly things.,agreeableness,4,0
I am easy to satisfy.,agreeableness,4,1
I am exacting in my work.,conscientiousness,1,1
I do not lose my head.,neuroticism,0,0
I am good at many things.,conscientiousness,1,1
I easily resist temptations.,neuroticism,0,1
I am hard to get to know.,extraversion,2,1
I am indifferent to the feelings of others.,agreeableness,4,1
I am interested in people.,agreeableness,4,0
I am not afraid of providing criticism.,extraversion,2,1
I am not as strict as I should be.,conscientiousness,1,1
